"Server","TimeCreated","LogName","Source","Id","Level","Message"
"ASPOTS5","7/22/2026 5:42:06 PM","System","Microsoft-Windows-WindowsUpdateClient","44","Information","Windows Update started downloading an update."
"ASPOTS5","7/22/2026 5:42:06 PM","System","Microsoft-Windows-WindowsUpdateClient","44","Information","Windows Update started downloading an update."
"ASPOTS5","7/22/2026 5:42:06 PM","System","Microsoft-Windows-WindowsUpdateClient","44","Information","Windows Update started downloading an update."
"ASPOTS5","7/22/2026 5:42:06 PM","System","Microsoft-Windows-WindowsUpdateClient","44","Information","Windows Update started downloading an update."
"ASPOTS5","7/22/2026 5:42:06 PM","System","Microsoft-Windows-WindowsUpdateClient","44","Information","Windows Update started downloading an update."
"ASPOTS5","7/22/2026 5:42:06 PM","System","Microsoft-Windows-WindowsUpdateClient","44","Information","Windows Update started downloading an update."
"ASPOTS5","7/22/2026 5:42:06 PM","System","Microsoft-Windows-WindowsUpdateClient","44","Information","Windows Update started downloading an update."
"ASPOTS5","7/22/2026 5:42:06 PM","System","Microsoft-Windows-WindowsUpdateClient","44","Information","Windows Update started downloading an update."
"ASPOTS5","7/22/2026 5:42:06 PM","System","Microsoft-Windows-WindowsUpdateClient","44","Information","Windows Update started downloading an update."
"ASPOTS5","7/22/2026 5:42:06 PM","System","Microsoft-Windows-WindowsUpdateClient","44","Information","Windows Update started downloading an update."
"ASPOTS5","7/22/2026 5:42:06 PM","System","Microsoft-Windows-WindowsUpdateClient","44","Information","Windows Update started downloading an update."
"ASPOTS5","7/22/2026 5:42:06 PM","System","Microsoft-Windows-WindowsUpdateClient","44","Information","Windows Update started downloading an update."
"ASPOTS5","7/22/2026 5:42:06 PM","System","Microsoft-Windows-WindowsUpdateClient","44","Information","Windows Update started downloading an update."
"ASPOTS5","7/22/2026 5:42:06 PM","System","Microsoft-Windows-WindowsUpdateClient","44","Information","Windows Update started downloading an update."
"ASPOTS5","7/22/2026 5:42:06 PM","System","Microsoft-Windows-WindowsUpdateClient","44","Information","Windows Update started downloading an update."
"ASPOTS5","7/22/2026 5:42:06 PM","System","Microsoft-Windows-WindowsUpdateClient","44","Information","Windows Update started downloading an update."
"ASPOTS5","7/22/2026 5:42:06 PM","System","Microsoft-Windows-WindowsUpdateClient","44","Information","Windows Update started downloading an update."
"ASPOTS5","7/22/2026 5:42:06 PM","System","Microsoft-Windows-WindowsUpdateClient","44","Information","Windows Update started downloading an update."
"ASPOTS5","7/22/2026 5:42:06 PM","System","Microsoft-Windows-WindowsUpdateClient","44","Information","Windows Update started downloading an update."
"ASPOTS5","7/22/2026 5:42:06 PM","System","Microsoft-Windows-WindowsUpdateClient","44","Information","Windows Update started downloading an update."
"ASPOTS5","7/22/2026 5:42:06 PM","System","Microsoft-Windows-WindowsUpdateClient","44","Information","Windows Update started downloading an update."
"ASPOTS5","7/22/2026 5:42:06 PM","System","Microsoft-Windows-WindowsUpdateClient","44","Information","Windows Update started downloading an update."
"ASPOTS5","7/22/2026 5:42:06 PM","System","Microsoft-Windows-WindowsUpdateClient","44","Information","Windows Update started downloading an update."
"ASPOTS5","7/22/2026 5:42:06 PM","System","Microsoft-Windows-WindowsUpdateClient","44","Information","Windows Update started downloading an update."
,,,,,,
,,,,,,
,,,,,,
