"SnapshotTime","Hostname","ID","AccessedBy","Type","Locks","OpenMode","OpenFile" 
"2026-07-07 09:50:24",INFO: The system global flag 'maintain objects list' needs 
"2026-07-07 09:50:24",      to be enabled to see local opened files. 
"2026-07-07 09:50:24",      See Openfiles /? for more information. 
"2026-07-07 09:50:24",Files opened remotely via local share points: 
"2026-07-07 09:50:24",--------------------------------------------- 
"2026-07-07 09:50:24","Hostname","ID","Accessed By","Type","#Locks","Open Mode","Open File (Path\executable)" 
"2026-07-07 09:50:24","WINDT142K3","6","N/A","Windows","0","Write + Read","\PIPE\EVENTLOG" 
"2026-07-07 09:50:24","WINDT142K3","68261532","RFREYTAG","Windows","0","Write + Read","G:\Group_Windt132k\Shared\RLI Conversion\05 May 2026\Recon\RLI Holdings Recon 5.31.2026.xlsx" 
"2026-07-07 09:50:24","WINDT142K3","68261539","RFREYTAG","Windows","0","Write + Read","G:\Group_Windt132k\Shared\RLI Conversion\05 May 2026\Recon\~$RLI Holdings Recon 5.31.2026.xlsx" 
"2026-07-07 09:50:24","WINDT142K3","68263917","BMCADOO","Windows","0","Read","G:\Group_Windt132k\Shared\reports\alico\Billing\APR26" 
"2026-07-07 09:50:24","WINDT142K3","68263919","BMCADOO","Windows","0","Read","G:\Group_Windt132k\Shared\reports\alico\Billing\APR26" 
"2026-07-07 09:50:24","WINDT142K3","68264465","KCARTA","Windows","0","Write + Read","G:\Group_Windt132k\Shared\REIT Team\Saluda Grade\Loan Servicing\Loan IDs\SALUDAGRADE User Defined List Update.xlsx" 
"2026-07-07 09:50:24","WINDT142K3","68264471","KCARTA","Windows","0","Write + Read","G:\Group_Windt132k\Shared\REIT Team\Saluda Grade\Loan Servicing\Loan IDs\~$SALUDAGRADE User Defined List Update.xlsx" 
"2026-07-07 09:50:24","WINDT142K3","68264593","KCARTA","Windows","0","Write + Read","G:\Group_Windt132k\Shared\REIT Team\Saluda Grade\Loan Servicing\2026\06 June 2026\Remits\June Projection.xlsx" 
"2026-07-07 09:50:24","WINDT142K3","68264609","KCARTA","Windows","0","Write + Read","G:\Group_Windt132k\Shared\REIT Team\Saluda Grade\Loan Servicing\2026\06 June 2026\Remits\~$June Projection.xlsx" 
"2026-07-07 09:50:24","WINDT142K3","68264720","WEI.JIANG","Windows","0","Read","G:\Group_Windt132k\shared\REIT Team\Rompsen\Loans" 
"2026-07-07 09:50:24","WINDT142K3","68264721","WEI.JIANG","Windows","0","Read","G:\Group_Windt132k\shared\REIT Team\Rompsen\Loans" 
"2026-07-07 09:50:24","WINDT142K3","68264722","WEI.JIANG","Windows","0","Read","G:\Group_Windt132k\shared\REIT Team\Rompsen" 
"2026-07-07 09:50:24","WINDT142K3","68264723","WEI.JIANG","Windows","0","Read","G:\Group_Windt132k\shared\REIT Team\Rompsen" 
"2026-07-07 09:50:24","WINDT142K3","68264724","WEI.JIANG","Windows","0","Read","G:\Group_Windt132k\shared\REIT Team\Romspen CAD Shadow" 
"2026-07-07 09:50:24","WINDT142K3","68264725","WEI.JIANG","Windows","0","Read","G:\Group_Windt132k\shared\REIT Team\Romspen CAD Shadow" 
"2026-07-07 09:50:24","WINDT142K3","68264726","WEI.JIANG","Windows","0","Read","G:\Group_Windt132k\shared\REIT Team" 
"2026-07-07 09:50:24","WINDT142K3","68264727","WEI.JIANG","Windows","0","Read","G:\Group_Windt132k\shared\REIT Team" 
"2026-07-07 09:50:24","WINDT142K3","68264728","WEI.JIANG","Windows","0","Read","G:\Group_Windt132k\shared\REIT Team\Post Road" 
"2026-07-07 09:50:24","WINDT142K3","68264729","WEI.JIANG","Windows","0","Read","G:\Group_Windt132k\shared\REIT Team\Post Road" 
"2026-07-07 09:50:24","WINDT142K3","68264730","WEI.JIANG","Windows","0","Read","G:\Group_Windt132k\shared\REIT Team\Valley National Bank\Syndication Loan" 
"2026-07-07 09:50:24","WINDT142K3","68264731","WEI.JIANG","Windows","0","Read","G:\Group_Windt132k\shared\REIT Team\Valley National Bank\Syndication Loan" 
"2026-07-07 09:50:24","WINDT142K3","68264732","WEI.JIANG","Windows","0","Read","G:\Group_Windt132k\shared\REIT Team\Valley National Bank\Synd Bought Loan" 
"2026-07-07 09:50:24","WINDT142K3","68264733","WEI.JIANG","Windows","0","Read","G:\Group_Windt132k\shared\REIT Team\Valley National Bank\Synd Bought Loan" 
